z,tip,sleeve
0.025,13.7644,48.9334
0.05,55.0427,68.6599
0.075,50.4913,88.3865
0.1,32.7215,98.6328
0.125,33.5907,145.0764
0.15,35.3423,190.6582
0.175,37.2075,261.8078
0.2,33.023,189.126
0.225,25.4033,279.8107
0.25,23.3764,218.8116
0.275,24.6497,292.451
0.3,20.0076,252.2318
0.325,16.2258,242.3686
0.35,16.8088,243.9007
0.375,14.2164,238.4424
0.4,10.3038,205.1179
0.425,9.2564,206.0755
0.45,9.1471,198.0317
0.475,8.3258,189.126
0.5,7.6469,166.5266
0.525,7.3034,117.306
0.55,6.9069,99.7819
0.575,6.3453,83.9815
0.6,5.7629,69.9048
0.625,5.3022,58.7009
0.65,4.9841,52.285
0.675,4.7039,46.5394
0.7,4.4822,42.3259
0.725,4.3255,38.8786
0.75,4.2262,36.4846
0.775,4.0963,33.899
0.8,3.9996,32.5584
0.825,3.9148,31.6966
0.85,3.8536,31.2178
0.875,3.8348,29.7814
0.9,3.8323,29.7814
0.925,3.8509,30.0686
0.95,3.9333,29.9729
0.975,4.0483,30.9305
1,4.2121,31.505
1.025,4.2967,32.9414
1.05,4.3718,33.3245
1.075,4.4649,31.505
1.1,4.6357,33.516
1.125,4.9089,36.1015
1.15,5.0846,40.698
1.175,5.6715,47.2097
1.2,5.9854,54.3917
1.225,6.1836,64.7338
1.25,6.5095,77.3741
1.275,6.8397,96.6218
1.3,7.2282,122.094
1.325,7.5149,154.6524
1.35,7.7512,172.2722
1.375,7.8539,182.4228
1.4,7.8058,209.2356
1.425,7.8573,216.5134
1.45,7.9087,216.2261
1.475,7.9226,213.066
1.5,7.9582,211.4381
1.525,7.8223,209.0441
1.55,7.4941,210.0017
1.575,7.1334,209.9059
1.6,6.8786,205.884
1.625,6.2352,202.0536
1.65,6.1945,192.8606
1.675,6.3588,180.1246
1.7,6.6615,166.3351
1.725,7.0142,160.8768
1.75,7.289,160.2065
1.775,7.4342,162.2174
1.8,7.2441,166.2394
1.825,6.8261,171.1231
1.85,6.23,181.1779
1.875,5.9247,187.4023
1.9,5.7914,182.327
1.925,5.3703,171.0274
1.95,5.418,165.8563
1.975,6.0943,168.6334
2,6.5696,159.2489
2.025,6.4229,145.3637
2.05,6.5156,135.8834
2.075,6.5345,132.8191
2.1,6.4448,150.822
2.125,6.2394,161.0683
2.15,6.441,158.004
2.175,6.6781,157.1422
2.2,7.3931,155.8015
2.225,7.5022,165.9521
2.25,7.5178,178.0178
2.275,7.4552,190.9454
2.3,7.184,202.9154
2.325,6.6145,203.9688
2.35,6.2664,203.5858
2.375,6.5695,200.5214
2.4,6.785,198.8935
